ID,Num of marathon,Unfinished_marathon,Age,Num of mtl marathon,2012 mtl Marathon,2013 mtl Marathon,2014 mtl Marathon,2015 mtl Marathon
195,1,0,1,1,0,0,0,1
196,1,0,4,0,0,0,0,0
197,2,2,3,2,1,1,0,0
198,1,1,4,1,0,1,0,0
199,1,0,4,1,0,1,0,0
200,0,0,4,0,0,0,0,0
201,0,0,4,0,0,0,0,0
202,4,1,5,2,1,1,0,0
203,0,0,3,0,0,0,0,0
204,1,0,4,1,0,0,0,1
205,2,2,4,1,0,1,0,0
206,1,0,5,1,0,1,0,0
207,4,6,4,1,1,0,0,0
208,1,0,3,0,0,0,0,0
209,0,0,4,0,0,0,0,0
210,1,0,3,1,0,1,0,0
211,0,0,1,0,0,0,0,0
212,1,0,4,1,1,0,0,0
213,1,0,3,1,0,0,0,1
214,1,1,2,1,0,1,0,0
215,2,0,5,2,1,0,0,1
216,1,0,1,0,0,0,0,0
217,1,0,3,1,0,0,0,1
218,1,0,3,0,0,0,0,0
219,0,0,3,0,0,0,0,0
220,1,0,2,0,0,0,0,0
221,3,0,4,2,0,1,0,1
222,1,0,3,1,1,0,0,0
223,1,0,3,1,0,1,0,0
224,1,0,4,0,0,0,0,0
225,1,0,4,1,1,0,0,0
226,1,0,4,1,0,0,0,1
227,0,0,3,0,0,0,0,0
228,1,1,2,1,0,1,0,0
229,1,0,3,0,0,0,0,0
230,1,0,2,1,0,0,0,1
231,1,0,1,1,1,0,0,0
232,1,0,1,1,0,0,0,1
233,1,0,4,0,0,0,0,0
234,1,0,1,0,0,0,0,0
235,1,0,2,1,0,0,0,1
236,2,0,5,1,0,1,0,0
237,1,1,4,1,0,1,0,0
238,1,0,5,1,0,1,0,0
239,1,0,4,1,0,0,0,1
240,1,0,3,1,0,1,0,0
241,1,0,3,1,0,1,0,0
242,1,0,5,1,1,0,0,0
243,1,0,5,1,1,0,0,0
244,1,0,3,0,0,0,0,0
245,1,0,1,1,0,0,0,1
246,1,0,2,1,0,1,0,0
247,1,1,4,0,0,0,0,0
248,1,0,4,1,0,0,0,1
249,1,1,3,1,0,1,0,0
250,1,0,2,1,0,0,0,1
251,0,0,5,0,0,0,0,0
252,1,0,4,1,0,1,0,0
253,0,0,4,0,0,0,0,0
254,1,0,3,1,0,0,0,1
255,1,0,1,0,0,0,0,0
256,1,0,4,1,0,0,0,1
257,1,0,4,1,1,0,0,0
258,2,1,5,2,0,1,0,1
259,1,1,4,0,0,0,0,0
260,2,0,1,1,0,1,0,0
261,2,0,5,1,0,0,0,1
262,1,0,4,1,0,0,0,1
263,1,0,1,0,0,0,0,0
264,1,0,3,0,0,0,0,0
265,2,0,3,1,0,0,0,1
266,2,0,6,1,0,1,0,0
267,1,1,4,1,0,1,0,0
268,1,0,1,0,0,0,0,0
269,1,0,2,1,0,0,0,1
270,1,1,4,1,0,0,0,1
271,0,0,3,0,0,0,0,0
272,1,0,3,1,0,0,0,1
273,0,0,6,0,0,0,0,0
274,1,0,1,1,0,0,0,1
275,2,1,6,2,1,1,0,0
276,1,0,5,0,0,0,0,0
277,1,0,5,1,0,0,0,1
278,1,0,3,1,0,0,0,1
279,0,0,4,0,0,0,0,0
280,1,0,5,1,0,1,0,0
281,1,0,3,1,0,0,0,1
282,4,4,4,1,1,0,0,0
283,1,0,1,1,0,0,0,1
284,1,0,3,1,0,0,0,1
285,1,0,5,0,0,0,0,0
286,1,2,5,1,0,1,0,0
287,1,0,4,1,0,0,0,1
288,1,0,3,0,0,0,0,0
289,1,1,3,0,0,0,0,0
290,1,0,5,1,0,0,0,1
291,1,0,5,1,0,0,0,1
292,0,0,6,0,0,0,0,0
293,1,0,1,1,1,0,0,0
294,1,0,5,1,0,1,0,0
295,1,0,3,0,0,0,0,0
296,2,0,4,2,1,1,0,0
297,0,0,2,0,0,0,0,0
298,1,0,3,1,0,0,0,1
299,1,0,5,1,0,0,0,1
300,0,0,2,0,0,0,0,0
301,1,0,3,0,0,0,0,0
302,0,3,1,0,0,0,0,0
303,1,0,5,1,0,0,0,1
304,1,0,2,0,0,0,0,0
305,1,0,1,1,1,0,0,0
306,1,0,3,1,0,0,0,1
307,2,0,1,2,1,1,0,0
308,1,0,3,1,0,0,0,1
309,1,0,3,1,0,0,0,1
310,1,0,1,1,1,0,0,0
311,0,0,1,0,0,0,0,0
312,1,0,2,1,1,0,0,0
313,1,0,4,1,0,0,0,1
314,1,0,4,1,0,0,0,1
315,2,2,3,1,1,0,0,0
316,1,0,4,1,0,0,0,1
317,1,0,4,1,0,1,0,0
318,1,0,3,1,0,0,0,1
319,3,1,4,3,1,1,0,1
320,1,0,3,1,0,0,0,1
321,3,0,4,2,1,1,0,0
322,1,4,3,1,0,1,0,0
323,1,3,3,0,0,0,0,0
324,0,0,1,0,0,0,0,0
325,0,0,3,0,0,0,0,0
326,1,0,4,1,0,0,0,1
327,1,1,3,0,0,0,0,0
328,1,0,3,0,0,0,0,0
329,1,0,3,0,0,0,0,0
330,1,0,1,1,0,0,0,1
331,2,5,2,0,0,0,0,0
332,2,3,4,1,1,0,0,0
333,2,0,3,1,0,1,0,0
334,1,0,3,0,0,0,0,0
335,1,0,4,1,0,0,0,1
336,2,0,4,1,0,1,0,0
337,2,0,4,2,0,1,0,1
338,0,0,5,0,0,0,0,0
339,1,0,3,1,0,0,0,1
340,0,0,2,0,0,0,0,0
341,1,0,3,1,0,0,0,1
342,4,3,5,0,0,0,0,0
343,2,0,2,1,0,1,0,0
344,1,0,3,1,1,0,0,0
345,1,0,3,1,1,0,0,0
346,1,0,2,1,0,0,0,1
347,1,0,5,1,0,1,0,0
348,1,0,1,0,0,0,0,0
349,1,2,3,1,0,1,0,0
350,2,0,3,2,1,1,0,0
351,0,0,2,0,0,0,0,0
352,1,0,3,1,0,1,0,0
353,2,0,1,1,0,0,0,1
354,1,0,5,0,0,0,0,0
355,1,0,4,1,0,0,0,1
356,1,0,3,1,0,0,0,1
357,1,0,3,1,1,0,0,0
358,1,0,5,1,1,0,0,0
359,1,0,3,0,0,0,0,0
360,1,0,3,1,0,0,0,1
361,0,0,3,0,0,0,0,0
362,1,0,2,1,0,0,0,1
363,1,0,3,1,1,0,0,0
364,1,1,3,1,0,1,0,0
365,0,0,1,0,0,0,0,0
366,0,0,4,0,0,0,0,0
367,1,1,3,1,0,1,0,0
368,1,0,4,1,1,0,0,0
369,1,0,3,1,0,0,0,1
370,1,0,3,0,0,0,0,0
371,1,0,4,1,0,1,0,0
372,1,0,3,0,0,0,0,0
373,1,0,5,1,0,0,0,1
374,0,0,4,0,0,0,0,0
375,1,1,3,0,0,0,0,0
376,1,0,2,0,0,0,0,0
377,1,0,6,1,0,1,0,0
378,1,0,3,1,0,1,0,0
379,4,0,5,2,0,1,0,1
380,1,0,3,1,0,0,0,1
381,1,0,3,1,0,0,0,1
382,1,0,4,1,0,0,0,1
383,1,2,3,1,0,1,0,0
384,7,7,5,0,0,0,0,0
385,0,1,5,0,0,0,0,0
386,0,0,1,0,0,0,0,0
387,3,3,4,1,1,0,0,0
388,0,0,4,0,0,0,0,0
389,1,0,2,0,0,0,0,0
390,0,0,4,0,0,0,0,0
391,1,1,3,1,0,0,0,1
392,0,0,3,0,0,0,0,0
393,1,0,4,1,0,0,0,1
394,1,0,6,1,0,0,0,1
395,0,0,4,0,0,0,0,0
396,1,0,4,1,0,0,0,1
397,1,0,4,1,0,0,0,1
398,2,0,1,0,0,0,0,0
399,1,0,3,1,0,0,0,1
400,1,0,5,1,0,0,0,1
401,1,0,3,0,0,0,0,0
402,0,1,2,0,0,0,0,0
403,1,0,3,1,0,0,0,1
404,1,0,4,1,0,1,0,0
405,1,0,1,1,0,1,0,0
406,1,0,3,1,0,0,0,1
407,1,0,3,1,1,0,0,0
408,1,0,4,1,1,0,0,0
409,1,0,2,1,0,1,0,0
410,3,2,3,1,0,1,0,0
411,1,0,4,1,0,0,0,1
412,2,0,4,1,0,0,0,1
413,1,0,4,1,0,0,0,1
414,1,0,4,1,0,0,0,1
415,1,1,5,1,1,0,0,0
416,1,0,5,0,0,0,0,0
417,1,0,2,0,0,0,0,0
418,1,0,3,1,1,0,0,0
419,2,3,3,0,0,0,0,0
420,3,1,4,1,0,1,0,0
421,2,1,5,2,1,1,0,0
422,1,0,3,1,0,1,0,0
423,1,1,5,1,1,0,0,0
424,1,0,2,0,0,0,0,0
425,1,0,6,1,0,0,0,1
426,1,2,3,0,0,0,0,0
427,0,0,2,0,0,0,0,0
428,1,1,4,1,1,0,0,0
429,0,0,4,0,0,0,0,0
430,1,0,3,1,0,1,0,0
431,1,0,2,1,1,0,0,0
432,2,2,3,1,0,1,0,0
433,1,0,2,0,0,0,0,0
434,1,0,2,0,0,0,0,0
435,1,0,4,1,0,0,0,1
436,1,0,5,1,0,0,0,1
437,1,0,4,1,0,1,0,0
438,1,0,3,1,1,0,0,0
439,1,0,1,1,0,0,0,1
440,1,0,5,0,0,0,0,0
441,1,1,1,0,0,0,0,0
442,2,7,5,1,1,0,0,0
443,1,1,3,1,1,0,0,0
444,1,0,4,1,0,0,0,1
445,1,0,3,1,0,1,0,0
446,1,0,5,1,0,1,0,0
447,1,0,3,1,1,0,0,0
448,1,0,4,1,0,0,0,1
449,1,0,3,1,0,1,0,0
450,1,1,4,1,0,1,0,0
451,2,0,1,1,0,0,0,1
452,1,0,1,1,0,1,0,0
453,1,0,2,0,0,0,0,0
454,1,0,3,1,0,0,0,1
455,1,1,4,0,0,0,0,0
456,1,0,3,1,0,0,0,1
457,1,0,3,1,0,0,0,1
458,0,0,6,0,0,0,0,0
459,1,0,3,0,0,0,0,0
460,1,0,4,1,0,1,0,0
461,1,2,5,1,0,1,0,0
462,1,0,4,1,1,0,0,0
463,2,2,4,0,0,0,0,0
464,1,0,4,0,0,0,0,0
465,1,0,2,1,0,1,0,0
466,0,0,3,0,0,0,0,0
467,1,0,3,1,0,0,0,1
468,2,0,4,2,1,1,0,0
469,1,0,2,1,0,0,0,1
470,1,0,5,0,0,0,0,0
471,0,0,4,0,0,0,0,0
472,0,0,3,0,0,0,0,0
473,1,0,2,1,0,1,0,0
474,1,0,6,1,1,0,0,0
475,1,0,5,1,0,0,0,1
476,3,2,5,2,1,1,0,0
477,1,0,4,0,0,0,0,0
478,2,0,3,1,0,0,0,1
479,1,0,3,1,0,0,0,1
480,1,0,4,0,0,0,0,0
481,1,1,5,0,0,0,0,0
482,1,1,3,1,1,0,0,0
483,1,1,3,0,0,0,0,0
484,1,0,2,1,0,1,0,0
485,1,0,3,1,0,0,0,1
486,3,5,3,1,0,1,0,0
487,1,0,5,1,1,0,0,0
488,1,0,3,1,0,0,0,1
489,2,0,4,2,1,1,0,0
490,1,0,3,1,0,0,0,1
491,1,0,3,1,0,0,0,1
492,1,0,3,1,0,1,0,0
493,1,0,3,1,0,0,0,1
494,3,0,4,1,0,0,0,1
495,1,1,3,1,1,0,0,0
496,0,0,5,0,0,0,0,0
497,2,0,4,1,1,0,0,0
498,1,0,1,1,1,0,0,0
499,1,0,3,0,0,0,0,0
500,2,1,3,2,1,1,0,0
501,1,0,3,1,1,0,0,0
502,0,0,2,0,0,0,0,0
503,1,0,3,0,0,0,0,0
504,0,0,4,0,0,0,0,0
505,1,0,4,1,1,0,0,0
506,1,0,5,1,0,1,0,0
507,1,1,3,0,0,0,0,0
508,1,0,4,1,0,0,0,1
509,0,0,3,0,0,0,0,0
510,1,1,2,1,0,1,0,0
511,0,0,4,0,0,0,0,0
512,1,1,4,0,0,0,0,0
513,0,0,3,0,0,0,0,0
514,1,0,3,0,0,0,0,0
515,2,0,5,1,1,0,0,0
516,0,0,4,0,0,0,0,0
517,1,1,4,1,1,0,0,0
518,1,0,5,1,0,0,0,1
519,0,0,3,0,0,0,0,0
520,1,0,1,1,0,0,0,1
521,1,3,2,1,0,1,0,0
522,1,0,4,1,0,1,0,0
523,2,0,3,1,0,0,0,1
524,1,0,3,1,0,0,0,1
525,1,0,2,1,0,0,0,1
526,0,0,3,0,0,0,0,0
527,1,0,4,0,0,0,0,0
528,1,0,3,0,0,0,0,0
529,1,0,3,0,0,0,0,0
530,1,0,1,1,0,1,0,0
531,1,2,4,0,0,0,0,0
532,1,0,4,0,0,0,0,0
533,1,0,6,1,1,0,0,0
534,1,0,1,1,0,0,0,1
535,1,0,3,1,0,0,0,1
536,1,0,3,1,0,0,0,1
537,1,0,1,1,0,0,0,1
538,1,0,5,1,0,0,0,1
539,1,0,3,1,0,0,0,1
540,1,0,3,1,0,0,0,1
541,1,0,5,1,0,1,0,0
542,1,0,4,1,0,0,0,1
543,1,0,3,0,0,0,0,0
544,1,0,4,1,0,0,0,1
545,0,0,5,0,0,0,0,0
546,1,0,2,0,0,0,0,0
547,0,0,1,0,0,0,0,0
548,3,0,2,1,1,0,0,0
549,1,4,5,1,0,1,0,0
550,1,0,2,0,0,0,0,0
551,4,1,4,1,1,0,0,0
552,0,0,5,0,0,0,0,0
553,1,0,1,1,0,0,0,1
554,1,0,4,1,0,1,0,0
555,1,0,4,1,0,1,0,0
556,1,0,4,1,0,0,0,1
557,2,1,3,1,0,1,0,0
558,0,0,4,0,0,0,0,0
559,0,0,4,0,0,0,0,0
560,1,0,3,1,0,0,0,1
561,1,0,1,0,0,0,0,0
562,1,0,3,0,0,0,0,0
563,1,0,3,1,0,1,0,0
564,2,0,2,2,1,1,0,0
565,0,0,5,0,0,0,0,0
566,0,0,1,0,0,0,0,0
567,1,0,1,1,0,0,0,1
568,0,0,5,0,0,0,0,0
569,1,0,1,1,0,1,0,0
570,1,0,1,1,0,0,0,1
571,1,0,2,0,0,0,0,0
572,1,0,3,1,1,0,0,0
573,1,1,4,1,0,0,0,1
574,1,0,3,1,0,0,0,1
575,1,0,4,1,0,0,0,1
576,1,0,2,0,0,0,0,0
577,6,2,5,3,1,1,0,1
578,1,0,3,1,0,0,0,1
579,1,1,4,1,0,1,0,0
580,1,1,5,1,0,0,0,1
581,1,1,3,1,0,1,0,0
582,1,0,3,0,0,0,0,0
583,1,0,4,0,0,0,0,0
584,1,0,3,1,0,0,0,1
585,1,0,5,1,0,0,0,1
586,1,0,3,1,0,1,0,0
587,1,0,3,1,0,0,0,1
588,2,0,3,1,0,1,0,0
589,1,1,4,0,0,0,0,0
590,1,0,1,0,0,0,0,0
591,1,0,2,1,0,0,0,1
592,2,2,5,0,0,0,0,0
593,1,0,2,0,0,0,0,0
594,1,0,4,1,1,0,0,0
595,1,0,3,1,1,0,0,0
596,1,0,3,0,0,0,0,0
597,1,0,2,1,0,1,0,0
598,1,0,4,1,0,0,0,1
599,0,0,4,0,0,0,0,0
600,0,0,4,0,0,0,0,0
601,1,0,3,1,0,0,0,1
602,1,0,3,1,0,0,0,1
603,1,0,3,1,0,1,0,0
604,1,0,2,1,0,0,0,1
605,0,0,4,0,0,0,0,0
606,2,2,3,1,0,1,0,0
607,1,0,2,1,0,0,0,1
608,1,0,5,1,0,0,0,1
609,1,0,3,1,1,0,0,0
610,3,0,4,1,1,0,0,0
611,1,0,4,1,0,1,0,0
612,1,0,4,1,0,0,0,1
613,3,1,3,2,1,1,0,0
614,1,0,1,1,0,0,0,1
615,1,3,4,1,0,1,0,0
616,1,0,3,1,0,0,0,1
617,0,0,4,0,0,0,0,0
618,1,0,4,1,0,0,0,1
619,1,0,2,0,0,0,0,0
620,1,0,5,0,0,0,0,0
621,0,0,5,0,0,0,0,0
622,1,0,3,0,0,0,0,0
623,1,0,1,1,0,0,0,1
624,1,1,3,1,0,1,0,0
625,1,0,3,1,0,0,0,1
626,1,0,3,1,0,1,0,0
627,1,0,5,1,0,0,0,1
628,1,1,3,0,0,0,0,0
629,1,0,2,0,0,0,0,0
630,1,0,4,1,0,0,0,1
631,1,0,1,0,0,0,0,0
632,1,0,4,1,0,1,0,0
633,1,0,4,1,0,0,0,1
634,2,0,4,1,1,0,0,0
635,3,0,5,2,1,0,0,1
636,1,0,3,1,1,0,0,0
637,1,0,4,1,1,0,0,0
638,3,1,4,2,0,1,0,1
639,0,0,4,0,0,0,0,0
640,0,0,6,0,0,0,0,0
641,1,0,4,1,0,0,0,1
642,1,0,3,1,1,0,0,0
643,0,0,4,0,0,0,0,0
644,1,0,5,1,0,0,0,1
645,1,2,3,1,0,1,0,0
646,0,0,2,0,0,0,0,0
647,1,0,4,1,0,0,0,1
648,1,0,2,0,0,0,0,0
649,2,6,4,1,0,1,0,0
650,1,1,2,1,1,0,0,0
651,1,0,5,1,0,1,0,0
652,0,0,5,0,0,0,0,0
653,2,1,3,1,0,1,0,0
654,1,3,3,0,0,0,0,0
655,1,0,1,1,1,0,0,0
656,1,0,4,1,0,0,0,1
657,2,0,3,1,0,1,0,0
658,1,0,3,1,0,1,0,0
659,1,0,2,1,1,0,0,0
660,1,0,2,1,0,1,0,0
661,1,1,5,0,0,0,0,0
662,1,0,2,1,1,0,0,0
663,0,0,3,0,0,0,0,0
664,2,0,3,1,1,0,0,0
665,1,0,4,1,1,0,0,0
666,1,0,3,1,0,1,0,0
667,0,0,5,0,0,0,0,0
668,0,0,1,0,0,0,0,0
669,1,0,4,1,1,0,0,0
670,1,0,5,1,0,0,0,1
671,2,0,3,1,1,0,0,0
672,1,0,2,0,0,0,0,0
673,3,1,4,3,1,1,0,1
674,1,0,4,1,1,0,0,0
675,1,0,3,1,0,0,0,1
676,1,1,3,1,0,1,0,0
677,1,0,4,1,0,1,0,0
678,1,0,4,1,0,0,0,1
679,0,0,5,0,0,0,0,0
680,1,0,1,0,0,0,0,0
681,1,0,4,1,0,0,0,1
682,1,0,4,1,0,0,0,1
683,1,0,4,1,0,0,0,1
684,1,1,4,1,0,1,0,0
685,1,0,1,1,0,0,0,1
686,1,0,4,1,0,0,0,1
687,1,0,3,1,0,1,0,0
688,1,0,5,1,0,0,0,1
689,1,0,3,0,0,0,0,0
690,1,1,3,0,0,0,0,0
691,1,0,2,0,0,0,0,0
692,1,0,1,1,0,1,0,0
693,1,0,4,1,0,0,0,1
694,1,0,2,1,0,1,0,0
695,1,0,2,1,0,0,0,1
696,1,0,2,1,0,0,0,1
697,0,0,3,0,0,0,0,0
698,1,0,3,1,0,0,0,1
699,2,3,1,1,1,0,0,0
700,0,0,1,0,0,0,0,0
701,1,0,3,1,0,0,0,1
702,1,0,3,1,0,0,0,1
703,0,0,2,0,0,0,0,0
704,1,1,4,1,0,1,0,0
705,1,1,2,1,1,0,0,0
706,1,0,3,1,1,0,0,0
707,0,0,3,0,0,0,0,0
708,2,1,4,1,1,0,0,0
709,1,0,3,1,0,0,0,1
710,1,0,1,1,1,0,0,0
711,1,0,3,0,0,0,0,0
712,2,0,3,0,0,0,0,0
713,0,0,4,0,0,0,0,0
714,1,0,1,0,0,0,0,0
715,1,0,1,1,0,0,0,1
716,0,0,3,0,0,0,0,0
717,1,0,5,1,0,0,0,1
718,1,0,3,1,0,1,0,0
719,1,0,4,1,0,0,0,1
720,1,0,2,1,0,1,0,0
721,2,2,5,1,1,0,0,0
722,1,0,3,0,0,0,0,0
723,1,0,5,1,0,0,0,1
724,2,1,4,1,1,0,0,0
725,0,0,5,0,0,0,0,0
726,0,0,3,0,0,0,0,0
727,1,0,4,0,0,0,0,0
728,1,0,4,1,0,0,0,1
729,1,0,3,1,0,0,0,1
730,1,0,5,1,0,0,0,1
731,1,0,1,1,0,1,0,0
732,0,0,4,0,0,0,0,0
733,1,0,1,1,1,0,0,0
734,2,1,3,0,0,0,0,0
735,1,0,3,1,0,0,0,1
736,2,1,4,2,1,1,0,0
737,1,0,3,1,0,1,0,0
738,1,0,2,1,0,1,0,0
739,0,0,2,0,0,0,0,0
740,3,0,4,3,1,1,0,1
741,1,0,3,0,0,0,0,0
742,0,0,3,0,0,0,0,0
743,0,0,5,0,0,0,0,0
744,1,1,2,1,0,1,0,0
745,1,0,4,1,0,0,0,1
746,1,0,3,1,0,0,0,1
747,1,0,2,1,0,0,0,1
748,1,1,4,1,1,0,0,0
749,1,0,3,0,0,0,0,0
750,0,0,2,0,0,0,0,0
751,2,8,4,0,0,0,0,0
752,1,0,2,0,0,0,0,0
753,0,1,4,0,0,0,0,0
754,1,0,4,1,0,0,0,1
755,1,0,6,0,0,0,0,0
756,0,0,3,0,0,0,0,0
757,0,0,3,0,0,0,0,0
758,1,1,4,0,0,0,0,0
759,1,0,4,1,0,0,0,1
760,1,0,5,1,0,0,0,1
761,1,0,3,1,1,0,0,0
762,0,0,3,0,0,0,0,0
763,2,0,2,1,0,1,0,0
764,1,0,4,1,0,0,0,1
765,1,0,4,1,0,1,0,0
766,1,1,3,1,0,0,0,1
767,1,0,2,1,0,1,0,0
768,1,1,3,1,0,0,0,1
